"iso3";"indicator";"unit";"source";"cts_name";"cts_code";"n_rows";"n_iso3";"min_yr";"max_yr"
"ALB";"Environmental Taxes";"Domestic Currency";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Environmental Taxes";"ECGTE";5;1;2015;2019
"ALB";"Environmental Taxes";"Percent of GDP";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Environmental Taxes";"ECGTE";5;1;2015;2019
"ALB";"Taxes on Energy (including fuel for transport)";"Domestic Currency";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Energy (Including Fuel for Transport)";"ECGTEN";5;1;2015;2019
"ALB";"Taxes on Energy (including fuel for transport)";"Percent of GDP";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Energy (Including Fuel for Transport)";"ECGTEN";5;1;2015;2019
"ALB";"Taxes on Pollution";"Domestic Currency";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Pollution";"ECGTEP";5;1;2015;2019
"ALB";"Taxes on Pollution";"Percent of GDP";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Pollution";"ECGTEP";5;1;2015;2019
"ALB";"Taxes on Resources";"Domestic Currency";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Resources";"ECGTER";5;1;2015;2019
"ALB";"Taxes on Resources";"Percent of GDP";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Resources";"ECGTER";5;1;2015;2019
"ALB";"Taxes on Transport (excluding fuel for transport)";"Domestic Currency";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Transport (Excluding Fuel for Transport)";"ECGTET";5;1;2015;2019
"ALB";"Taxes on Transport (excluding fuel for transport)";"Percent of GDP";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Transport (Excluding Fuel for Transport)";"ECGTET";5;1;2015;2019
"AND";"Environmental Taxes";"Domestic Currency";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Environmental Taxes";"ECGTE";6;1;2015;2020
"AND";"Taxes on Energy (including fuel for transport)";"Domestic Currency";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Energy (Including Fuel for Transport)";"ECGTEN";6;1;2015;2020
"AND";"Taxes on Pollution";"Domestic Currency";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Pollution";"ECGTEP";6;1;2015;2020
"AND";"Taxes on Resources";"Domestic Currency";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Resources";"ECGTER";6;1;2015;2020
"AND";"Taxes on Transport (excluding fuel for transport)";"Domestic Currency";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Transport (Excluding Fuel for Transport)";"ECGTET";6;1;2015;2020
"ARG";"Environmental Taxes";"Domestic Currency";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Environmental Taxes";"ECGTE";27;1;1995;2021
"ARG";"Environmental Taxes";"Percent of GDP";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Environmental Taxes";"ECGTE";27;1;1995;2021
"ARG";"Taxes on Energy (including fuel for transport)";"Domestic Currency";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Energy (Including Fuel for Transport)";"ECGTEN";27;1;1995;2021
"ARG";"Taxes on Energy (including fuel for transport)";"Percent of GDP";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Energy (Including Fuel for Transport)";"ECGTEN";27;1;1995;2021
"ARG";"Taxes on Pollution";"Domestic Currency";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Pollution";"ECGTEP";27;1;1995;2021
"ARG";"Taxes on Pollution";"Percent of GDP";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Pollution";"ECGTEP";27;1;1995;2021
"ARG";"Taxes on Resources";"Domestic Currency";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Resources";"ECGTER";27;1;1995;2021
"ARG";"Taxes on Resources";"Percent of GDP";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Resources";"ECGTER";27;1;1995;2021
"ARG";"Taxes on Transport (excluding fuel for transport)";"Domestic Currency";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Transport (Excluding Fuel for Transport)";"ECGTET";27;1;1995;2021
"ARG";"Taxes on Transport (excluding fuel for transport)";"Percent of GDP";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Transport (Excluding Fuel for Transport)";"ECGTET";27;1;1995;2021
"ARM";"Environmental Taxes";"Domestic Currency";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Environmental Taxes";"ECGTE";6;1;2015;2020
"ARM";"Environmental Taxes";"Percent of GDP";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Environmental Taxes";"ECGTE";6;1;2015;2020
"ARM";"Taxes on Energy (including fuel for transport)";"Domestic Currency";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Energy (Including Fuel for Transport)";"ECGTEN";6;1;2015;2020
"ARM";"Taxes on Energy (including fuel for transport)";"Percent of GDP";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Energy (Including Fuel for Transport)";"ECGTEN";6;1;2015;2020
"ARM";"Taxes on Pollution";"Domestic Currency";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Pollution";"ECGTEP";6;1;2015;2020
"ARM";"Taxes on Pollution";"Percent of GDP";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Pollution";"ECGTEP";6;1;2015;2020
"ARM";"Taxes on Resources";"Domestic Currency";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Resources";"ECGTER";6;1;2015;2020
"ARM";"Taxes on Resources";"Percent of GDP";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Resources";"ECGTER";6;1;2015;2020
"ARM";"Taxes on Transport (excluding fuel for transport)";"Domestic Currency";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Transport (Excluding Fuel for Transport)";"ECGTET";6;1;2015;2020
"ARM";"Taxes on Transport (excluding fuel for transport)";"Percent of GDP";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Transport (Excluding Fuel for Transport)";"ECGTET";6;1;2015;2020
"ATG";"Environmental Taxes";"Domestic Currency";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Environmental Taxes";"ECGTE";27;1;1995;2021
"ATG";"Environmental Taxes";"Percent of GDP";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Environmental Taxes";"ECGTE";27;1;1995;2021
"ATG";"Taxes on Energy (including fuel for transport)";"Domestic Currency";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Energy (Including Fuel for Transport)";"ECGTEN";27;1;1995;2021
"ATG";"Taxes on Energy (including fuel for transport)";"Percent of GDP";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Energy (Including Fuel for Transport)";"ECGTEN";27;1;1995;2021
"ATG";"Taxes on Pollution";"Domestic Currency";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Pollution";"ECGTEP";27;1;1995;2021
"ATG";"Taxes on Pollution";"Percent of GDP";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Pollution";"ECGTEP";27;1;1995;2021
"ATG";"Taxes on Resources";"Domestic Currency";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Resources";"ECGTER";27;1;1995;2021
"ATG";"Taxes on Resources";"Percent of GDP";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Resources";"ECGTER";27;1;1995;2021
"ATG";"Taxes on Transport (excluding fuel for transport)";"Domestic Currency";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Transport (Excluding Fuel for Transport)";"ECGTET";27;1;1995;2021
"ATG";"Taxes on Transport (excluding fuel for transport)";"Percent of GDP";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Transport (Excluding Fuel for Transport)";"ECGTET";27;1;1995;2021
"AUS";"Environmental Taxes";"Domestic Currency";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Environmental Taxes";"ECGTE";27;1;1995;2021
"AUS";"Environmental Taxes";"Percent of GDP";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Environmental Taxes";"ECGTE";27;1;1995;2021
"AUS";"Taxes on Energy (including fuel for transport)";"Domestic Currency";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Energy (Including Fuel for Transport)";"ECGTEN";27;1;1995;2021
"AUS";"Taxes on Energy (including fuel for transport)";"Percent of GDP";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Energy (Including Fuel for Transport)";"ECGTEN";27;1;1995;2021
"AUS";"Taxes on Pollution";"Domestic Currency";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Pollution";"ECGTEP";27;1;1995;2021
"AUS";"Taxes on Pollution";"Percent of GDP";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Pollution";"ECGTEP";27;1;1995;2021
"AUS";"Taxes on Resources";"Domestic Currency";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Resources";"ECGTER";10;1;2010;2019
"AUS";"Taxes on Resources";"Percent of GDP";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Resources";"ECGTER";10;1;2010;2019
"AUS";"Taxes on Transport (excluding fuel for transport)";"Domestic Currency";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Transport (Excluding Fuel for Transport)";"ECGTET";27;1;1995;2021
"AUS";"Taxes on Transport (excluding fuel for transport)";"Percent of GDP";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Taxes on Transport (Excluding Fuel for Transport)";"ECGTET";27;1;1995;2021
"AUT";"Environmental Taxes";"Domestic Currency";"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR accessed on 10-03-2022; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.";"Environmental Taxes";"ECGTE";27;1;1995;2021
